h,multlin1,multexp1,multrec1
0,1.306459,1.324398,-28.95495
1,1.059852,1.014874,-.6223938
2,.8468548,.7873157,3.667544
3,.7057402,.6562112,2.072302
4,.6801281,.6437041,2.1782
5,.6764851,.641981,1.991732
6,.6771979,.6387423,1.726916
7,.6637146,.6201436,1.486984
8,.6689614,.6038387,1.264306
9,.6879548,.6024116,1.102081
10,.7064933,.6084133,1.038087
11,.7162561,.6096903,.9901002
12,.719329,.6034023,.9664913
13,.7189201,.594107,.9585979
14,.7172865,.58867,.9524925
15,.7133608,.5801764,.9426314
16,.7096115,.5651211,.9348902
17,.7098383,.557274,.9327064
18,.7153019,.5583569,.9320657
19,.722976,.5558794,.9362326
20,.72948,.5453612,.9380766
